Patient	Type	Gene	Cytoband	Samples with alteration in altered group	Samples with alteration in unaltered group	Log Ratio	p-Value	q-Value	Tendency
P-0016256	MUT	KMT2C	7q36.1	26 (2.25%)	4 (0.30%)	2.9	5.49E-06	1.655E-04	Co-occurrence
P-0016256	MUT	CREBBP	16p13.3	54 (4.68%)	21 (1.59%)	1.56	5.517E-06	1.655E-04	Co-occurrence
P-0016256	MUT	PTPRT	20q12-q13.11	21 (1.82%)	2 (0.15%)	3.59	7.898E-06	2.271E-04	Co-occurrence
P-0016256	MUT	TRAF7	16p13.3	15 (1.30%)	0 (0.00%)	>10	1.019E-05	2.813E-04	Co-occurrence
P-0016256	MUT	BRAF	7q34	37 (3.21%)	93 (7.04%)	-1.13	1.073E-05	2.847E-04	Mutual exclusivity
P-0016256	MUT	RPTOR	17q25.3	20 (1.73%)	2 (0.15%)	3.52	1.566E-05	4.001E-04	Co-occurrence
P-0016256	MUT	ERBB2	17q12	28 (2.43%)	6 (0.45%)	2.42	1.762E-05	4.341E-04	Co-occurrence
P-0016256	MUT	MTOR	1p36.22	38 (3.29%)	12 (0.91%)	1.86	1.879E-05	4.472E-04	Co-occurrence
P-0016256	MUT	DOT1L	19p13.3	14 (1.21%)	0 (0.00%)	>10	2.2E-05	4.744E-04	Co-occurrence
P-0016256	MUT	TBX3	12q24.21	14 (1.21%)	0 (0.00%)	>10	2.2E-05	4.744E-04	Co-occurrence
P-0016256	MUT	TP53BP1	15q15.3	14 (1.21%)	0 (0.00%)	>10	2.2E-05	4.744E-04	Co-occurrence
P-0016256	MUT	PTPN11	12q24.13	69 (5.98%)	35 (2.65%)	1.17	2.76E-05	5.772E-04	Co-occurrence
P-0016256	MUT	NOTCH4	6p21.32	18 (1.56%)	2 (0.15%)	3.36	6.07E-05	1.197E-03	Co-occurrence
P-0016256	MUT	ZFHX3	16q22.2-q22.3	18 (1.56%)	2 (0.15%)	3.36	6.07E-05	1.197E-03	Co-occurrence
P-0016256	MUT	KDM5A	12p13.33	22 (1.91%)	4 (0.30%)	2.65	6.737E-05	1.291E-03	Co-occurrence
P-0016256	MUT	NOTCH3	19p13.12	29 (2.51%)	8 (0.61%)	2.05	7.196E-05	1.342E-03	Co-occurrence
P-0016256	MUT	KMT2A	11q23.3	44 (3.81%)	18 (1.36%)	1.48	7.499E-05	1.362E-03	Co-occurrence
P-0016256	MUT	HGF	7q21.11	12 (1.04%)	0 (0.00%)	>10	1.024E-04	1.766E-03	Co-occurrence
P-0016256	MUT	IKBKE	1q32.1	12 (1.04%)	0 (0.00%)	>10	1.024E-04	1.766E-03	Co-occurrence
P-0016256	MUT	BRD4	19p13.12	33 (2.86%)	11 (0.83%)	1.78	1.078E-04	1.783E-03	Co-occurrence
P-0016256	MUT	MSH6	2p16.3	36 (3.12%)	13 (0.98%)	1.66	1.085E-04	1.783E-03	Co-occurrence
P-0016256	MUT	ERG	21q22.2	23 (1.99%)	5 (0.38%)	2.4	1.139E-04	1.827E-03	Co-occurrence
P-0016256	MUT	MAP3K13	3q27.2	14 (1.21%)	1 (0.08%)	4	1.873E-04	2.938E-03	Co-occurrence
P-0016256	MUT	FBXW7	4q31.3	22 (1.91%)	5 (0.38%)	2.33	2.04E-04	3.129E-03	Co-occurrence
P-0016256	MUT	MEN1	11q13.1	11 (0.95%)	0 (0.00%)	>10	2.207E-04	3.24E-03	Co-occurrence
P-0016256	MUT	PARP1	1q42.12	11 (0.95%)	0 (0.00%)	>10	2.207E-04	3.24E-03	Co-occurrence
P-0016256	MUT	TP63	3q28	16 (1.39%)	2 (0.15%)	3.19	2.304E-04	3.312E-03	Co-occurrence
P-0016256	MUT	ERCC5	13q33.1	25 (2.17%)	7 (0.53%)	2.03	2.565E-04	3.54E-03	Co-occurrence
P-0016256	MUT	GNAS	20q13.32	25 (2.17%)	7 (0.53%)	2.03	2.565E-04	3.54E-03	Co-occurrence
P-0016256	MUT	KDR	4q12	41 (3.55%)	18 (1.36%)	1.38	2.785E-04	3.757E-03	Co-occurrence
P-0016256	MUT	MAP3K1	5q11.2	28 (2.43%)	9 (0.68%)	1.83	2.831E-04	3.757E-03	Co-occurrence
P-0016256	MUT	EPHA5	4q13.1-q13.2	23 (1.99%)	6 (0.45%)	2.13	3.085E-04	4.017E-03	Co-occurrence
P-0016256	MUT	MED12	Xq13.1	26 (2.25%)	8 (0.61%)	1.9	3.541E-04	4.524E-03	Co-occurrence
P-0016256	MUT	DNMT1	19p13.2	13 (1.13%)	1 (0.08%)	3.9	3.786E-04	4.665E-03	Co-occurrence
P-0016256	MUT	RBM10	Xp11.3	13 (1.13%)	1 (0.08%)	3.9	3.786E-04	4.665E-03	Co-occurrence
P-0016256	MUT	SPEN	1p36.21-p36.13	19 (1.65%)	4 (0.30%)	2.44	4.128E-04	4.997E-03	Co-occurrence
P-0016256	MUT	SOS1	2p22.1	17 (1.47%)	3 (0.23%)	2.7	4.467E-04	5.315E-03	Co-occurrence
P-0016256	MUT	CDK8	13q12.13	10 (0.87%)	0 (0.00%)	>10	4.756E-04	5.469E-03	Co-occurrence
P-0016256	MUT	IRF4	6p25.3	10 (0.87%)	0 (0.00%)	>10	4.756E-04	5.469E-03	Co-occurrence
P-0016256	MUT	DNMT3A	2p23.3	34 (2.95%)	14 (1.06%)	1.48	5.34E-04	6.041E-03	Co-occurrence
P-0016256	MUT	ERBB4	2q34	31 (2.69%)	12 (0.91%)	1.56	5.773E-04	6.425E-03	Co-occurrence
P-0016256	MUT	KDM6A	Xp11.3	20 (1.73%)	5 (0.38%)	2.19	6.397E-04	7.006E-03	Co-occurrence
P-0016256	MUT	RUNX1	21q22.12	18 (1.56%)	4 (0.30%)	2.36	7.436E-04	7.598E-03	Co-occurrence
P-0016256	MUT	XPO1	2p15	18 (1.56%)	4 (0.30%)	2.36	7.436E-04	7.598E-03	Co-occurrence
P-0016256	MUT	IRS2	13q34	12 (1.04%)	1 (0.08%)	3.78	7.614E-04	7.598E-03	Co-occurrence
P-0016256	MUT	MAP2K1	15q22.31	12 (1.04%)	1 (0.08%)	3.78	7.614E-04	7.598E-03	Co-occurrence
P-0016256	MUT	PIK3CD	1p36.22	12 (1.04%)	1 (0.08%)	3.78	7.614E-04	7.598E-03	Co-occurrence
P-0016256	MUT	BRIP1	17q23.2	26 (2.25%)	9 (0.68%)	1.73	7.708E-04	7.598E-03	Co-occurrence
P-0016256	MUT	GLI1	12q13.3	26 (2.25%)	9 (0.68%)	1.73	7.708E-04	7.598E-03	Co-occurrence
P-0016256	MUT	ETV1	7p21.2	16 (1.39%)	3 (0.23%)	2.61	8.268E-04	7.832E-03	Co-occurrence
P-0016256	MUT	PIK3C2G	12p12.3	16 (1.39%)	3 (0.23%)	2.61	8.268E-04	7.832E-03	Co-occurrence
P-0016256	MUT	NOTCH1	9q34.3	78 (6.76%)	51 (3.86%)	0.81	8.286E-04	7.832E-03	Co-occurrence
P-0016256	MUT	ASXL2	2p23.3	14 (1.21%)	2 (0.15%)	3	8.527E-04	7.951E-03	Co-occurrence
P-0016256	MUT	SF3B1	2q33.1	24 (2.08%)	8 (0.61%)	1.78	9.831E-04	9.045E-03	Co-occurrence
P-0016256	MUT	AXIN1	16p13.3	9 (0.78%)	0 (0.00%)	>10	1.024E-03	9.299E-03	Co-occurrence
P-0016256	MUT	SLX4	16p13.3	19 (1.65%)	5 (0.38%)	2.12	1.118E-03	9.888E-03	Co-occurrence
P-0016256	MUT	TET1	10q21.3	19 (1.65%)	5 (0.38%)	2.12	1.118E-03	9.888E-03	Co-occurrence
P-0016256	MUT	FAT1	4q35.2	36 (3.12%)	17 (1.29%)	1.28	1.282E-03	0.0112	Co-occurrence
P-0016256	MUT	EZH2	7q36.1	17 (1.47%)	4 (0.30%)	2.28	1.328E-03	0.0114	Co-occurrence
P-0016256	MUT	NOTCH2	1p12	41 (3.55%)	21 (1.59%)	1.16	1.361E-03	0.0116	Co-occurrence
P-0016256	MUT	BRCA1	17q21.31	33 (2.86%)	15 (1.14%)	1.33	1.483E-03	0.0119	Co-occurrence
P-0016256	MUT	ARID5B	10q21.2	11 (0.95%)	1 (0.08%)	3.65	1.522E-03	0.0119	Co-occurrence
P-0016256	MUT	EPHB1	3q22.2	11 (0.95%)	1 (0.08%)	3.65	1.522E-03	0.0119	Co-occurrence
P-0016256	MUT	GATA3	10p14	11 (0.95%)	1 (0.08%)	3.65	1.522E-03	0.0119	Co-occurrence
P-0016256	MUT	LATS1	6q25.1	11 (0.95%)	1 (0.08%)	3.65	1.522E-03	0.0119	Co-occurrence
P-0016256	MUT	MST1R	3p21.31	11 (0.95%)	1 (0.08%)	3.65	1.522E-03	0.0119	Co-occurrence
P-0016256	MUT	SYK	9q22.2	11 (0.95%)	1 (0.08%)	3.65	1.522E-03	0.0119	Co-occurrence
P-0016256	MUT	ATR	3q23	20 (1.73%)	6 (0.45%)	1.93	1.563E-03	0.0121	Co-occurrence
P-0016256	MUT	ANKRD11	16q24.3	13 (1.13%)	2 (0.15%)	2.9	1.622E-03	0.0122	Co-occurrence
P-0016256	MUT	BAP1	3p21.1	13 (1.13%)	2 (0.15%)	2.9	1.622E-03	0.0122	Co-occurrence
P-0016256	MUT	CDK12	17q12	13 (1.13%)	2 (0.15%)	2.9	1.622E-03	0.0122	Co-occurrence
P-0016256	MUT	ALK	2p23.2-p23.1	34 (2.95%)	16 (1.21%)	1.28	1.695E-03	0.0126	Co-occurrence
P-0016256	MUT	DNMT3B	20q11.21	8 (0.69%)	0 (0.00%)	>10	2.205E-03	0.0149	Co-occurrence
P-0016256	MUT	ERRFI1	1p36.23	8 (0.69%)	0 (0.00%)	>10	2.205E-03	0.0149	Co-occurrence
P-0016256	MUT	PAK5	20p12.2	8 (0.69%)	0 (0.00%)	>10	2.205E-03	0.0149	Co-occurrence
P-0016256	MUT	RAD51C	17q22	8 (0.69%)	0 (0.00%)	>10	2.205E-03	0.0149	Co-occurrence
P-0016256	MUT	RPS6KA4	11q13.1	8 (0.69%)	0 (0.00%)	>10	2.205E-03	0.0149	Co-occurrence
P-0016256	MUT	SHQ1	3p13	8 (0.69%)	0 (0.00%)	>10	2.205E-03	0.0149	Co-occurrence
P-0016256	MUT	TEK	9p21.2	8 (0.69%)	0 (0.00%)	>10	2.205E-03	0.0149	Co-occurrence
P-0016256	MUT	TRAF2	9q34.3	8 (0.69%)	0 (0.00%)	>10	2.205E-03	0.0149	Co-occurrence
P-0016256	MUT	YES1	18p11.32	8 (0.69%)	0 (0.00%)	>10	2.205E-03	0.0149	Co-occurrence
P-0016256	MUT	PTPRS	19p13.3	16 (1.39%)	4 (0.30%)	2.19	2.347E-03	0.0157	Co-occurrence
P-0016256	MUT	POLE	12q24.33	25 (2.17%)	10 (0.76%)	1.52	2.466E-03	0.0164	Co-occurrence
P-0016256	MUT	MSH2	2p21-p16.3	29 (2.51%)	13 (0.98%)	1.35	2.59E-03	0.017	Co-occurrence
P-0016256	MUT	PDGFRB	5q32	22 (1.91%)	8 (0.61%)	1.65	2.629E-03	0.017	Co-occurrence
P-0016256	MUT	BCL6	3q27.3	19 (1.65%)	6 (0.45%)	1.86	2.632E-03	0.017	Co-occurrence
P-0016256	MUT	NCOR1	17p12-p11.2	14 (1.21%)	3 (0.23%)	2.42	2.756E-03	0.0176	Co-occurrence
P-0016256	MUT	ARID1A	1p36.11	58 (5.03%)	37 (2.80%)	0.84	2.803E-03	0.0177	Co-occurrence
P-0016256	MUT	AMER1	Xq11.2	10 (0.87%)	1 (0.08%)	3.52	3.024E-03	0.0177	Co-occurrence
P-0016256	MUT	BARD1	2q35	10 (0.87%)	1 (0.08%)	3.52	3.024E-03	0.0177	Co-occurrence
P-0016256	MUT	CTCF	16q22.1	10 (0.87%)	1 (0.08%)	3.52	3.024E-03	0.0177	Co-occurrence
P-0016256	MUT	GATA2	3q21.3	10 (0.87%)	1 (0.08%)	3.52	3.024E-03	0.0177	Co-occurrence
P-0016256	MUT	HOXB13	17q21.32	10 (0.87%)	1 (0.08%)	3.52	3.024E-03	0.0177	Co-occurrence
P-0016256	MUT	LATS2	13q12.11	10 (0.87%)	1 (0.08%)	3.52	3.024E-03	0.0177	Co-occurrence
P-0016256	MUT	MDC1	6p21.33	10 (0.87%)	1 (0.08%)	3.52	3.024E-03	0.0177	Co-occurrence
P-0016256	MUT	STAT5B	17q21.2	10 (0.87%)	1 (0.08%)	3.52	3.024E-03	0.0177	Co-occurrence
P-0016256	MUT	EED	11q14.2	12 (1.04%)	2 (0.15%)	2.78	3.058E-03	0.0177	Co-occurrence
P-0016256	MUT	RASA1	5q14.3	12 (1.04%)	2 (0.15%)	2.78	3.058E-03	0.0177	Co-occurrence
P-0016256	MUT	RAD50	5q31.1	17 (1.47%)	5 (0.38%)	1.96	3.313E-03	0.019	Co-occurrence
P-0016256	MUT	BRCA2	13q13.1	47 (4.07%)	28 (2.12%)	0.94	3.338E-03	0.019	Co-occurrence
P-0016256	MUT	SMARCA4	19p13.2	42 (3.64%)	24 (1.82%)	1	3.613E-03	0.0204	Co-occurrence
P-0016256	MUT	EPHA3	3p11.1	24 (2.08%)	10 (0.76%)	1.46	3.871E-03	0.0217	Co-occurrence
P-0016256	MUT	COP1	1q25.1-q25.2	15 (1.30%)	4 (0.30%)	2.1	4.105E-03	0.0228	Co-occurrence
P-0016256	MUT	CDKN2C	1p32.3	21 (1.82%)	8 (0.61%)	1.59	4.233E-03	0.0232	Co-occurrence
P-0016256	MUT	MLH1	3p22.2	21 (1.82%)	8 (0.61%)	1.59	4.233E-03	0.0232	Co-occurrence
P-0016256	MUT	ROS1	6q22.1	45 (3.90%)	27 (2.04%)	0.93	4.368E-03	0.0236	Co-occurrence
P-0016256	MUT	PLCG2	16q23.3	18 (1.56%)	6 (0.45%)	1.78	4.385E-03	0.0236	Co-occurrence
P-0016256	MUT	BCOR	Xp11.4	39 (3.38%)	22 (1.67%)	1.02	4.428E-03	0.0237	Co-occurrence
P-0016256	MUT	IKZF1	7p12.2	25 (2.17%)	11 (0.83%)	1.38	4.536E-03	0.0241	Co-occurrence
P-0016256	MUT	CXCR4	2q22.1	7 (0.61%)	0 (0.00%)	>10	4.744E-03	0.0246	Co-occurrence
P-0016256	MUT	INPP4A	2q11.2	7 (0.61%)	0 (0.00%)	>10	4.744E-03	0.0246	Co-occurrence
P-0016256	MUT	SLITRK6	13q31.1	7 (0.61%)	0 (0.00%)	>10	4.744E-03	0.0246	Co-occurrence
P-0016256	MUT	FANCA	16q24.3	36 (3.12%)	20 (1.51%)	1.04	5.416E-03	0.0277	Co-occurrence
P-0016256	MUT	TSC2	16p13.3	36 (3.12%)	20 (1.51%)	1.04	5.416E-03	0.0277	Co-occurrence
P-0016256	MUT	INPP4B	4q31.21	11 (0.95%)	2 (0.15%)	2.65	5.708E-03	0.0284	Co-occurrence
P-0016256	MUT	PGR	11q22.1	11 (0.95%)	2 (0.15%)	2.65	5.708E-03	0.0284	Co-occurrence
P-0016256	MUT	SOX17	8q11.23	11 (0.95%)	2 (0.15%)	2.65	5.708E-03	0.0284	Co-occurrence
P-0016256	MUT	DDB2	11p11.2	9 (0.78%)	1 (0.08%)	3.36	5.962E-03	0.0284	Co-occurrence
P-0016256	MUT	IL7R	5p13.2	9 (0.78%)	1 (0.08%)	3.36	5.962E-03	0.0284	Co-occurrence
P-0016256	MUT	KMT2B	19q13.12	9 (0.78%)	1 (0.08%)	3.36	5.962E-03	0.0284	Co-occurrence
P-0016256	MUT	MAPK1	22q11.22	9 (0.78%)	1 (0.08%)	3.36	5.962E-03	0.0284	Co-occurrence
P-0016256	MUT	POLQ	3q13.33	9 (0.78%)	1 (0.08%)	3.36	5.962E-03	0.0284	Co-occurrence
P-0016256	MUT	PPP2R1A	19q13.41	9 (0.78%)	1 (0.08%)	3.36	5.962E-03	0.0284	Co-occurrence
P-0016256	MUT	SMARCD1	12q13.12	9 (0.78%)	1 (0.08%)	3.36	5.962E-03	0.0284	Co-occurrence
P-0016256	MUT	ARID1B	6q25.3	46 (3.99%)	29 (2.20%)	0.86	6.648E-03	0.0314	Co-occurrence
P-0016256	MUT	BLM	15q26.1	20 (1.73%)	8 (0.61%)	1.52	6.738E-03	0.0316	Co-occurrence
P-0016256	MUT	KMT2D	12q13.12	67 (5.81%)	48 (3.63%)	0.68	6.872E-03	0.032	Co-occurrence
P-0016256	MUT	ASXL1	20q11.21	40 (3.47%)	24 (1.82%)	0.93	7.066E-03	0.0327	Co-occurrence
P-0016256	MUT	PMS2	7p22.1	17 (1.47%)	6 (0.45%)	1.7	7.218E-03	0.0332	Co-occurrence
P-0016256	MUT	CBL	11q23.3	25 (2.17%)	12 (0.91%)	1.25	7.872E-03	0.036	Co-occurrence
P-0016256	MUT	INSR	19p13.2	12 (1.04%)	3 (0.23%)	2.19	8.802E-03	0.0392	Co-occurrence
P-0016256	MUT	MRE11	11q21	12 (1.04%)	3 (0.23%)	2.19	8.802E-03	0.0392	Co-occurrence
P-0016256	MUT	SMAD2	18q21.1	12 (1.04%)	3 (0.23%)	2.19	8.802E-03	0.0392	Co-occurrence
P-0016256	MUT	SUZ12	17q11.2	12 (1.04%)	3 (0.23%)	2.19	8.802E-03	0.0392	Co-occurrence
P-0016256	MUT	PTPRD	9p24.1-p23	22 (1.91%)	10 (0.76%)	1.33	9.229E-03	0.0408	Co-occurrence
P-0016256	MUT	HIST1H3F	6p22.2	15 (1.30%)	5 (0.38%)	1.78	9.378E-03	0.041	Co-occurrence
P-0016256	MUT	RAF1	3p25.2	15 (1.30%)	5 (0.38%)	1.78	9.378E-03	0.041	Co-occurrence
P-0016256	MUT	CHEK1	11q24.2	6 (0.52%)	0 (0.00%)	>10	0.0102	0.0415	Co-occurrence
P-0016256	MUT	DROSHA	5p13.3	6 (0.52%)	0 (0.00%)	>10	0.0102	0.0415	Co-occurrence
P-0016256	MUT	FOXO1	13q14.11	6 (0.52%)	0 (0.00%)	>10	0.0102	0.0415	Co-occurrence
P-0016256	MUT	MAPK3	16p11.2	6 (0.52%)	0 (0.00%)	>10	0.0102	0.0415	Co-occurrence
P-0016256	MUT	PIK3R3	1p34.1	6 (0.52%)	0 (0.00%)	>10	0.0102	0.0415	Co-occurrence
P-0016256	MUT	PIM1	6p21.2	6 (0.52%)	0 (0.00%)	>10	0.0102	0.0415	Co-occurrence
P-0016256	MUT	RAD54L	1p34.1	6 (0.52%)	0 (0.00%)	>10	0.0102	0.0415	Co-occurrence
P-0016256	MUT	RPS6KB2	11q13.2	6 (0.52%)	0 (0.00%)	>10	0.0102	0.0415	Co-occurrence
P-0016256	MUT	RTEL1	20q13.33	6 (0.52%)	0 (0.00%)	>10	0.0102	0.0415	Co-occurrence
P-0016256	MUT	STK40	1p34.3	6 (0.52%)	0 (0.00%)	>10	0.0102	0.0415	Co-occurrence
P-0016256	MUT	XIAP	Xq25	6 (0.52%)	0 (0.00%)	>10	0.0102	0.0415	Co-occurrence
P-0016256	MUT	ACVR1	2q24.1	10 (0.87%)	2 (0.15%)	2.52	0.0105	0.0415	Co-occurrence
P-0016256	MUT	NFE2L2	2q31.2	10 (0.87%)	2 (0.15%)	2.52	0.0105	0.0415	Co-occurrence
P-0016256	MUT	STAT3	17q21.2	10 (0.87%)	2 (0.15%)	2.52	0.0105	0.0415	Co-occurrence
P-0016256	MUT	USP28	11q23.2	10 (0.87%)	2 (0.15%)	2.52	0.0105	0.0415	Co-occurrence
P-0016256	MUT	CDC73	1q31.2	19 (1.65%)	8 (0.61%)	1.44	0.0106	0.0415	Co-occurrence
P-0016256	MUT	DIS3	13q21.33	19 (1.65%)	8 (0.61%)	1.44	0.0106	0.0415	Co-occurrence
P-0016256	MUT	PMS1	2q32.2	19 (1.65%)	8 (0.61%)	1.44	0.0106	0.0415	Co-occurrence
P-0016256	MUT	NUP93	16q13	8 (0.69%)	1 (0.08%)	3.19	0.0117	0.0444	Co-occurrence
P-0016256	MUT	PIK3R2	19p13.11	8 (0.69%)	1 (0.08%)	3.19	0.0117	0.0444	Co-occurrence
P-0016256	MUT	RAD51D	17q12	8 (0.69%)	1 (0.08%)	3.19	0.0117	0.0444	Co-occurrence
P-0016256	MUT	RIF1	2q23.3	8 (0.69%)	1 (0.08%)	3.19	0.0117	0.0444	Co-occurrence
P-0016256	MUT	TGFBR2	3p24.1	8 (0.69%)	1 (0.08%)	3.19	0.0117	0.0444	Co-occurrence
P-0016256	MUT	FH	1q43	13 (1.13%)	4 (0.30%)	1.9	0.0121	0.0459	Co-occurrence
P-0016256	DEL	CDKN2B	9p21.3	434 (37.61%)	146 (11.05%)	1.77	5.86E-56	1.15E-53	Co-occurrence
P-0016256	DEL	CDKN2A	9p21.3	457 (39.60%)	164 (12.41%)	1.67	7.93E-56	1.15E-53	Co-occurrence
P-0016256	DEL	GATA3	10p14	32 (2.77%)	2 (0.15%)	4.19	3.41E-09	3.29E-07	Co-occurrence
P-0016256	DEL	ARID5B	10q21.2	39 (3.38%)	5 (0.38%)	3.16	4.76E-09	3.45E-07	Co-occurrence
P-0016256	DEL	ERRFI1	1p36.23	20 (1.73%)	0 (0.00%)	>10	2.16E-07	1.252E-05	Co-occurrence
P-0016256	DEL	TEK	9p21.2	22 (1.91%)	1 (0.08%)	4.65	5.91E-07	2.858E-05	Co-occurrence
P-0016256	DEL	PTEN	10q23.31	72 (6.24%)	31 (2.35%)	1.41	9.25E-07	3.83E-05	Co-occurrence
P-0016256	DEL	PIK3CD	1p36.22	17 (1.47%)	0 (0.00%)	>10	2.184E-06	7.916E-05	Co-occurrence
P-0016256	DEL	RET	10q11.21	17 (1.47%)	2 (0.15%)	3.28	1.186E-04	3.822E-03	Co-occurrence
P-0016256	DEL	TNFRSF14	1p36.32	11 (0.95%)	0 (0.00%)	>10	2.207E-04	6.401E-03	Co-occurrence
P-0016256	DEL	TP53	17p13.1	13 (1.13%)	1 (0.08%)	3.9	3.786E-04	9.981E-03	Co-occurrence
P-0016256	DEL	RAC2	22q13.1	10 (0.87%)	0 (0.00%)	>10	4.756E-04	0.0115	Co-occurrence
P-0016256	AMP	EGFR	7p11.2	348 (30.16%)	78 (5.90%)	2.35	5.09E-60	1.21E-57	Co-occurrence
P-0016256	AMP	MDM4	1q32.1	61 (5.29%)	12 (0.91%)	2.54	3.95E-11	4.68E-09	Co-occurrence
P-0016256	AMP	CDK4	12q14.1	115 (9.97%)	57 (4.31%)	1.21	2.41E-08	1.904E-06	Co-occurrence
P-0016256	AMP	MDM2	12q15	66 (5.72%)	26 (1.97%)	1.54	5.93E-07	3.512E-05	Co-occurrence
P-0016256	AMP	GLI1	12q13.3	44 (3.81%)	17 (1.29%)	1.57	3.925E-05	1.86E-03	Co-occurrence
P-0016256	AMP	SOX2	3q26.33	46 (3.99%)	20 (1.51%)	1.4	1.051E-04	4.151E-03	Co-occurrence
P-0016256	AMP	PIK3C2B	1q32.1	25 (2.17%)	9 (0.68%)	1.67	1.255E-03	0.0425	Co-occurrence
P-0016238	MUT	IDH1	2q34	155 (14.69%)	546 (38.45%)	-1.39	1.71E-40	1.18E-37	Mutual exclusivity
P-0016238	MUT	EGFR	7p11.2	254 (24.08%)	108 (7.61%)	1.66	2.01E-30	6.94E-28	Co-occurrence
P-0016238	MUT	CIC	19q13.2	110 (10.43%)	18 (1.27%)	3.04	2.49E-25	5.73E-23	Co-occurrence
P-0016238	MUT	ATRX	Xq21.1	80 (7.58%)	295 (20.77%)	-1.45	6.72E-21	1.16E-18	Mutual exclusivity
P-0016238	MUT	RB1	13q14.2	119 (11.28%)	51 (3.59%)	1.65	7.54E-14	1.04E-11	Co-occurrence
P-0016238	MUT	STAG2	Xq25	66 (6.26%)	14 (0.99%)	2.67	1.14E-13	1.31E-11	Co-occurrence
P-0016238	MUT	TP53	17p13.1	300 (28.44%)	606 (42.68%)	-0.59	1.7E-13	1.67E-11	Mutual exclusivity
P-0016238	MUT	FUBP1	1p31.1	37 (3.51%)	2 (0.14%)	4.64	3.59E-12	3.09E-10	Co-occurrence
P-0016238	MUT	NF1	17q11.2	181 (17.16%)	119 (8.38%)	1.03	3.61E-11	2.77E-09	Co-occurrence
P-0016238	MUT	SETD2	3p21.31	80 (7.58%)	42 (2.96%)	1.36	1.39E-07	9.563E-06	Co-occurrence
P-0016238	MUT	PTPN11	12q24.13	69 (6.54%)	35 (2.46%)	1.41	5.44E-07	3.415E-05	Co-occurrence
P-0016238	MUT	KMT2C	7q36.1	26 (2.46%)	4 (0.28%)	3.13	6.79E-07	3.906E-05	Co-occurrence
P-0016238	MUT	PIK3R1	5q13.1	97 (9.19%)	62 (4.37%)	1.07	1.108E-06	5.483E-05	Co-occurrence
P-0016238	MUT	IRS1	2q36.3	16 (1.52%)	0 (0.00%)	>10	1.112E-06	5.483E-05	Co-occurrence
P-0016238	MUT	PTPRT	20q12-q13.11	21 (1.99%)	2 (0.14%)	3.82	1.348E-06	6.201E-05	Co-occurrence
P-0016238	MUT	PBRM1	3p21.1	33 (3.13%)	9 (0.63%)	2.3	1.852E-06	7.985E-05	Co-occurrence
P-0016238	MUT	TRAF7	16p13.3	15 (1.42%)	0 (0.00%)	>10	2.631E-06	1.031E-04	Co-occurrence
P-0016238	MUT	FLT4	5q35.3	45 (4.27%)	18 (1.27%)	1.75	2.689E-06	1.031E-04	Co-occurrence
P-0016238	MUT	GRIN2A	16p13.2	22 (2.09%)	3 (0.21%)	3.3	3.081E-06	1.119E-04	Co-occurrence
P-0016238	MUT	CARD11	7p22.2	33 (3.13%)	10 (0.70%)	2.15	4.737E-06	1.634E-04	Co-occurrence
P-0016238	MUT	MGA	15q15.1	23 (2.18%)	4 (0.28%)	2.95	5.9E-06	1.866E-04	Co-occurrence
P-0016238	MUT	NSD1	5q35.3	28 (2.65%)	7 (0.49%)	2.43	6.191E-06	1.866E-04	Co-occurrence
P-0016238	MUT	TP53BP1	15q15.3	14 (1.33%)	0 (0.00%)	>10	6.221E-06	1.866E-04	Co-occurrence
P-0016238	MUT	H3F3B	17q25.1	7 (0.66%)	44 (3.10%)	-2.22	7.481E-06	2.151E-04	Mutual exclusivity
P-0016238	MUT	NOTCH3	19p13.12	29 (2.75%)	8 (0.56%)	2.29	8.855E-06	2.444E-04	Co-occurrence
P-0016238	MUT	NOTCH1	9q34.3	79 (7.49%)	50 (3.52%)	1.09	9.634E-06	2.557E-04	Co-occurrence
P-0016238	MUT	AXIN2	17q24.1	16 (1.52%)	1 (0.07%)	4.43	1.139E-05	2.911E-04	Co-occurrence
P-0016238	MUT	KDM5A	12p13.33	22 (2.09%)	4 (0.28%)	2.89	1.198E-05	2.953E-04	Co-occurrence
P-0016238	MUT	NOTCH4	6p21.32	18 (1.71%)	2 (0.14%)	3.6	1.36E-05	3.128E-04	Co-occurrence
P-0016238	MUT	ZFHX3	16q22.2-q22.3	18 (1.71%)	2 (0.14%)	3.6	1.36E-05	3.128E-04	Co-occurrence
P-0016238	MUT	EPHB1	3q22.2	12 (1.14%)	0 (0.00%)	>10	3.471E-05	7.258E-04	Co-occurrence
P-0016238	MUT	HGF	7q21.11	12 (1.14%)	0 (0.00%)	>10	3.471E-05	7.258E-04	Co-occurrence
P-0016238	MUT	IKBKE	1q32.1	12 (1.14%)	0 (0.00%)	>10	3.471E-05	7.258E-04	Co-occurrence
P-0016238	MUT	PIK3CG	7q22.3	22 (2.09%)	5 (0.35%)	2.57	3.875E-05	7.864E-04	Co-occurrence
P-0016238	MUT	ERCC5	13q33.1	25 (2.37%)	7 (0.49%)	2.27	4.239E-05	8.125E-04	Co-occurrence
P-0016238	MUT	GNAS	20q13.32	25 (2.37%)	7 (0.49%)	2.27	4.239E-05	8.125E-04	Co-occurrence
P-0016238	MUT	BRD4	19p13.12	32 (3.03%)	12 (0.85%)	1.84	4.43E-05	8.261E-04	Co-occurrence
